Licence,Grid Supply Point,Bulk Supply Point,Primary Substation,Proposed Connection Voltage (kV),Connection Status,Total Demand Number,Total Demand Capacity (MW),Total Generation Number,Total Generation Capacity (MW)
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Osbaston 33 11 kV,11,Connection offers accepted,1,1.9,0,0
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Groby Road 33 11 kV S Stn,11,Connection offers accepted,1,5,0,0
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,Wigston Magna 33 11 kV S Stn,11,Connection offers accepted,1,1.407,1,1.0595
EMIDS,Grendon 132 kV S Stn,-,-,132,Connection offers accepted,5,409.8,4,259.8
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Corby Central 33 11 kV S Stn,11,Connection offers accepted,1,10,0,0
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Earlstrees 33 11 kV S Stn,11,Connection offers accepted,2,2.5,0,0
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Hazelwood 33 11 kV S Stn,11,Connection offers accepted,3,4.95,0,0
EMIDS,Grendon 132 kV S Stn,Irthlingborough 33 kV S Stn,-,33,Connection offers accepted,1,17.5,1,35
EMIDS,Grendon 132 kV S Stn,Irthlingborough 33 kV S Stn,Pytchley Road 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,-,33,Connection offers accepted,1,1.5,1,10
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Field Street 33 11 kV S Stn,11,Connection offers accepted,1,1.25,0,0
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Kettering North 33 11 kV S Stn,11,Connection offers accepted,1,8,0,0
EMIDS,Grendon 132 kV S Stn,Kibworth 33 kV S Stn,Farndon Road 33 11 kV S Stn,11,Connection offers accepted,1,1.734,0,0
EMIDS,Grendon 132 kV S Stn,Kibworth 33 kV S Stn,Kibworth 11 kV S Stn,11,Connection offers accepted,2,2.25,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Holwell 33 11 kV S Stn,11,Connection offers accepted,1,1.554,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Melton Mowbray 11 kV S Stn,11,Connection offers accepted,1,2.25,0,0
EMIDS,Grendon 132 kV S Stn,Northampton 33 kV S Stn,-,33,Connection offers accepted,1,40,0,0
EMIDS,Grendon 132 kV S Stn,Northampton 33 kV S Stn,Campbell Street 33 11 kV S Stn,11,Connection offers accepted,1,1.1,0,0
EMIDS,Grendon 132 kV S Stn,Northampton 33 kV S Stn,Wootton 33 11 kV S Stn,11,Connection offers accepted,1,1.14,0,0
EMIDS,Grendon 132 kV S Stn,Northampton East 33 kV S Stn,-,33,Connection offers accepted,1,10,1,34
EMIDS,Grendon 132 kV S Stn,Northampton West 33 kV S Stn,Banbury Lane 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Grendon 132 kV S Stn,Northampton West 33 kV S Stn,Ellesmere Avenue 33 11 kV S Stn,11,Connection offers accepted,3,8.65,0,0
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,-,33,Connection offers accepted,1,40,1,40
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,Empingham 33 11 kV S Stn,11,Connection offers accepted,1,9,0,0
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,Market Overton 33 11 kV S Stn,11,Connection offers accepted,1,1.2,0,0
EMIDS,Grendon 132 kV S Stn,Wellingborough 132 kV S Stn,Wellingborough 132/11 kV (Reserve),11,Connection offers accepted,1,1.287,0,0
EMIDS,Grendon 132 kV S Stn,Wellingborough 33 kV S Stn,Cannon Street 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Grendon 132 kV S Stn,Wellingborough 33 kV S Stn,Park Farm 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Grendon 132 kV S Stn,Wellingborough 33 kV S Stn,Sharnbrook 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Lea Marston 132 kV S Stn,-,-,132,Connection offers accepted,0,0,1,44
EMIDS,Lea Marston 132 kV S Stn,Tamworth 33 kV S Stn,-,33,Connection offers accepted,1,1,1,18.5
EMIDS,Lea Marston 132 kV S Stn,Tamworth 33 kV S Stn,Tamworth Grid 11 kV S Stn,11,Connection offers accepted,1,5.15,0,0
EMIDS,Lea Marston 132 kV S Stn,Tamworth 33 kV S Stn,Wood End 33 11 kV S Stn,11,Connection offers accepted,1,3,0,0
EMIDS,Lea Marston 132 kV S Stn,Tamworth Town 33 kV S Stn,-,33,Connection offers accepted,1,20,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,-,-,132,Connection offers accepted,1,150,2,199.9
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 132 kV S Stn (M32),Loughborough 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 33 kV S Stn,-,33,Connection offers accepted,1,10,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,North Wilford 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Sneinton 33 11 kV S Stn,11,Connection offers accepted,2,8,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,West Bridgford 33 11 kV S Stn,11,Connection offers accepted,1,2.25,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,East Leake 33 11 kV S Stn,11,Connection offers accepted,1,1.183,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,Mountsorrel 33 11 kV S Stn,11,Connection offers accepted,1,9,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Willoughby 33 kV S Stn,Syston 33 11 kV S Stn,11,Connection offers accepted,2,7.7,0,0
EMIDS,Staythorpe  C  132 kV S Stn,-,-,132,Connection offers accepted,1,100,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Checkerhouse 33 kV S Stn,Bevercotes 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Checkerhouse 33 kV S Stn,Hallcroft Rd 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Carlton On Trent 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Fernwood 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Southwell 33 11 kV S Stn,11,Connection offers accepted,1,2.331,0,0
EMIDS,Staythorpe  C  132 kV S Stn,Hawton 33 kV S Stn,Westborough 33 11 kV S Stn,11,Connection offers accepted,1,3.699,0,0
EMIDS,Stoke Bardolph 132 kV,Nottingham North 33 kV S Stn,Bulwell 33 11 kV S Stn,11,Connection offers accepted,1,4.1,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Donnington 33 11 kV S Stn,11,Connection offers accepted,1,1.8,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Marsh Lane 33 11 kV S Stn,11,Connection offers accepted,1,1.5,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Mount Bridge Boston 33 11 kV S Stn,11,Connection offers accepted,1,3.6,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Stickney 33 11 kV S Stn,11,Connection offers accepted,1,2.3,0,0
EMIDS,Walpole 132 kV S Stn,Boston 33 kV S Stn,Wrangle 33 11 kV S Stn,11,Connection offers accepted,1,2.8,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Holbeach 33 11 kV S Stn,11,Connection offers accepted,1,1.79,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Spalding Clay Lake 11 kV S Stn,11,Connection offers accepted,1,6,0,0
EMIDS,Walpole 132 kV S Stn,Spalding Clay Lake 33 kV S Stn,Spalding Park Road 33 11 kV S Stn,11,Connection offers accepted,1,2.1,0,0
EMIDS,Walpole 132 kV S Stn,Stamford 33 kV S Stn,Tinwell Road Ketton 33 11 kV S Stn,11,Connection offers accepted,1,2.099,0,0
EMIDS,West Burton 132 kV S Stn,-,-,132,Connection offers accepted,2,149.8,4,252.753
EMIDS,West Burton 132 kV S Stn,Lincoln Local 132 kV S Stn,Lincoln No 2 11 kV S Stn,11,Connection offers accepted,1,7.5,0,0
EMIDS,West Burton 132 kV S Stn,Lincoln Main No 1 33 kV S Stn,Doddington Park 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,West Burton 132 kV S Stn,Worksop 33 kV S Stn,Manton 33 11 kV S Stn,11,Connection offers accepted,1,2.5,0,0
EMIDS,Willington 132 kV S Stn,Derby 33 kV S Stn,Mackworth 33 11 kV S Stn,11,Connection offers accepted,1,1.721,0,0
EMIDS,Willington 132 kV S Stn,Derby South 33 kV S Stn,-,33,Connection offers accepted,1,25,0,0
EMIDS,Willington 132 kV S Stn,Heanor 33 kV S Stn,Denby 33 11 kV S Stn,11,Connection offers accepted,1,1,0,0
EMIDS,Willington 132 kV S Stn,Heanor 33 kV S Stn,Moorgreen 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Willington 132 kV S Stn,Spondon B 33 kV S Stn,-,33,Connection offers accepted,0,0,1,20
EMIDS,Willington 132 kV S Stn,Winster 33 kV S Stn,Bakewell 33 11 kV S Stn,11,Connection offers accepted,1,2,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry Central 33 kV S Stn,Courthouse Green 33/11 kV S Stn,11,Connection offers not yet accepted,1,1.7,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry Central 33 kV S Stn,Courthouse Green 33/6 6 kV S Stn,6.6,Connection offers not yet accepted,1,1,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry West 33 kV S Stn,Coventry West 6 6 kV S Stn,6.6,Connection offers not yet accepted,1,2.56,0,0
EMIDS,Berkswell 132 kV S Stn,Coventry West 33 kV S Stn,Hawkesmill Lane 33 6 6 kV S Stn,6.6,Connection offers not yet accepted,1,1.164,0,0
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,-,33,Connection offers not yet accepted,1,20.16,1,20.16
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,Gaydon 33 11 kV S Stn,11,Connection offers not yet accepted,1,8.774,0,0
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,Harbury 11 kV S Stn,11,Connection offers not yet accepted,1,1.1,0,0
EMIDS,Berkswell 132 kV S Stn,Harbury 33 kV S Stn,Southam 33 11 kV S Stn,11,Connection offers not yet accepted,1,3.73,0,0
EMIDS,Berkswell 132 kV S Stn,Warwick 132 kV S Stn,Warwick 11 kV S Stn,11,Connection offers not yet accepted,1,2.4,0,0
EMIDS,Berkswell 132 kV S Stn,Warwick 33 kV S Stn,Banbury Road 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.4,0,0
EMIDS,Berkswell 132 kV S Stn,Warwick 33 kV S Stn,Kenilworth 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.755,0,0
EMIDS,Berkswell 132 kV S Stn,Warwick 33 kV S Stn,Wise Street 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Bicker Fen 132 kV S Stn,-,-,132,Connection offers not yet accepted,2,149.8,2,149.8
EMIDS,Bicker Fen 132 kV S Stn,Grantham 33 kV S Stn,New Beacon Road Grantham 33 11 kV S Stn,11,Connection offers not yet accepted,1,4,0,0
EMIDS,Bicker Fen 132 kV S Stn,Skegness 33 kV S Stn,Ingoldmells 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.3,0,0
EMIDS,Bicker Fen 132 kV S Stn,Sleaford 33 kV S Stn,Ruskington 33 11 kV S Stn,11,Connection offers not yet accepted,2,5,0,0
EMIDS,Bicker Fen 132 kV S Stn,Sleaford 33 kV S Stn,Tattershall 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Chesterfield 132 kV S Stn,Alfreton 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,14.78
EMIDS,Chesterfield 132 kV S Stn,Alfreton 33 kV S Stn,Meadow Lane 33 11 kV S Stn,11,Connection offers not yet accepted,1,10,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,-,33,Connection offers not yet accepted,1,30,1,22.5
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Annesley (Kirkby) 11 kV S Stn,11,Connection offers not yet accepted,3,4.1,1,4.26
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Calverton 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,2,5.1
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Hucknall,11,Connection offers not yet accepted,1,4,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Sherwood Park 33 11 kV S Stn,11,Connection offers not yet accepted,3,9.817,0,0
EMIDS,Chesterfield 132 kV S Stn,Annesley 33 kV S Stn,Sutton Junction 33 11 kV S Stn,11,Connection offers not yet accepted,1,4.4,0,0
EMIDS,Chesterfield 132 kV S Stn,Chesterfield 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,21.12
EMIDS,Chesterfield 132 kV S Stn,Clipstone 33 kV S Stn,-,33,Connection offers not yet accepted,1,20,0,0
EMIDS,Chesterfield 132 kV S Stn,Goitside 33 kV S Stn,Sheffield Road 33 11 6 6 kV S Stn,6.6,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Chesterfield 132 kV S Stn,Mansfield 33 kV S Stn,Lime Tree Place 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.3,0,0
EMIDS,Chesterfield 132 kV S Stn,Mansfield 33 kV S Stn,Skegby Lane 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.1,0,0
EMIDS,Chesterfield 132 kV S Stn,Staveley 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,9.2
EMIDS,Chesterfield 132 kV S Stn,Staveley 33 kV S Stn,Erin Road,11,Connection offers not yet accepted,1,5,0,0
EMIDS,Chesterfield 132 kV S Stn,Whitwell 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,10
EMIDS,Coventry 132 kV S Stn,-,-,132,Connection offers not yet accepted,2,59,2,148.99
EMIDS,Coventry 132 kV S Stn,Coventry North 33 kV S Stn,Coventry Arena 33 11 kV S Stn,11,Connection offers not yet accepted,1,3,0,0
EMIDS,Coventry 132 kV S Stn,Coventry North 33 kV S Stn,Coventry North 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Coventry 132 kV S Stn,Daventry 33 kV S Stn,Crick 33 11 kV S Stn,11,Connection offers not yet accepted,2,2.5,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Hinckley 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Middlefield 33 11 kV S Stn,11,Connection offers not yet accepted,3,4.65,1,1.215
EMIDS,Coventry 132 kV S Stn,Hinckley 33 kV S Stn,Sapcote 33 11 kV S Stn,11,Connection offers not yet accepted,3,12.618,0,0
EMIDS,Coventry 132 kV S Stn,Nuneaton 33 kV S Stn,Gipsy Lane 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Coventry 132 kV S Stn,Nuneaton 33 kV S Stn,Newdigate 33 11 kV S Stn,11,Connection offers not yet accepted,3,3.487,0,0
EMIDS,Coventry 132 kV S Stn,Nuneaton 33 kV S Stn,Nuneaton 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Coventry 132 kV S Stn,Pailton 33 kV S Stn,-,33,Connection offers not yet accepted,1,10,1,10
EMIDS,Coventry 132 kV S Stn,Pailton 33 kV S Stn,Magna Park 33 11 kV S Stn,11,Connection offers not yet accepted,3,14.3,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 132 kV S Stn,Rugby 11 kV S Stn,11,Connection offers not yet accepted,1,1.25,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 33 kV S Stn,-,33,Connection offers not yet accepted,1,15,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 33 kV S Stn,Rugby Gateway,11,Connection offers not yet accepted,1,6,0,0
EMIDS,Coventry 132 kV S Stn,Rugby 33 kV S Stn,Union Street 33 11 kV S Stn,11,Connection offers not yet accepted,3,5.545,0,0
EMIDS,Coventry 132 kV S Stn,Whitley 33 kV S Stn,Dillotford Ave 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.6,0,0
EMIDS,Drakelow 132 kV,Burton 132 kV S Stn,Burton 11 kV,11,Connection offers not yet accepted,1,3.661,0,0
EMIDS,Drakelow 132 kV,Burton 33 kV,Hatton 33 11 kV S Stn,11,Connection offers not yet accepted,3,5.61,0,0
EMIDS,Drakelow 132 kV,Burton 33 kV,Trent Alloys 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.25,0,0
EMIDS,Drakelow 132 kV,Burton South 33 kV S Stn,Barton Under Needwood 33 11 kV S Stn,11,Connection offers not yet accepted,2,7.65,0,0
EMIDS,Drakelow 132 kV,Burton South 33 kV S Stn,Wellington St 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.29,0,0
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,Ashby 33 11 kV S Stn,11,Connection offers not yet accepted,2,5.694,0,0
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,Gresley 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Drakelow 132 kV,Gresley 33 kV S Stn,Willesley 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,East Claydon 132 kV S Stn,-,-,132,Connection offers not yet accepted,2,220,4,286
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Bletchley 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Kingston 33 11 kV S Stn,11,Connection offers not yet accepted,2,3,0,0
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Secklow Gate 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.6,0,0
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Tattenhoe Primary,11,Connection offers not yet accepted,1,9.199,1,2.925
EMIDS,East Claydon 132 kV S Stn,Bletchley 33 kV S Stn,Wavendon Gate 33 11 kV S Stn,11,Connection offers not yet accepted,4,10.086,0,0
EMIDS,East Claydon 132 kV S Stn,Brackley 132 kV S Stn,Brackley 11 kV,11,Connection offers not yet accepted,3,6.921,2,4.2
EMIDS,East Claydon 132 kV S Stn,Brackley 132 kV S Stn,Silverstone 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,East Claydon 132 kV S Stn,Brackley 132 kV S Stn,Towcester 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Childs Way 33 11 kV S Stn,11,Connection offers not yet accepted,2,8.881,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Marlborough Street 33 11 kV S Stn,11,Connection offers not yet accepted,2,3.15,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Newport Pagnell 33 11 kV S Stn,11,Connection offers not yet accepted,3,7.229,0,0
EMIDS,East Claydon 132 kV S Stn,Bradwell Abbey 33 kV S Stn,Wolverton 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,21.875
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Buckingham 33 11 kV S Stn,11,Connection offers not yet accepted,3,4,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Eldergate 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.322,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Shenley Wood 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.3,0,0
EMIDS,East Claydon 132 kV S Stn,Stony Stratford 33 kV S Stn,Steeple Claydon 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Enderby 132 kV S Stn,-,-,132,Connection offers not yet accepted,1,20,1,1.56
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Bardon 33 11 kV S Stn,11,Connection offers not yet accepted,2,5.65,0,0
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Mantle Lane Coalville 33 11 kV S Stn,11,Connection offers not yet accepted,2,3.437,0,0
EMIDS,Enderby 132 kV S Stn,Coalville 33 kV S Stn,Osbaston 33 11 kV,11,Connection offers not yet accepted,1,1.57,0,0
EMIDS,Enderby 132 kV S Stn,Leicester 33 kV S Stn,Braunstone 33 11 kV S Stn,11,Connection offers not yet accepted,1,2.168,0,0
EMIDS,Enderby 132 kV S Stn,Leicester East 33 kV S Stn,Thurnby 33 11 kV S Stn,11,Connection offers not yet accepted,1,3.378,0,0
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Beaumont Leys 33 11 kV S Stn,11,Connection offers not yet accepted,4,12.469,1,1.898
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Birstall 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.569,0,0
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Groby Road 33 11 kV S Stn,11,Connection offers not yet accepted,2,11.3,0,0
EMIDS,Enderby 132 kV S Stn,Leicester North 33 kV S Stn,Lero 33 6 6 kV S Stn,6.6,Connection offers not yet accepted,1,2.3,0,0
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,Alliance And Leicester 33 11 kV S Stn,11,Connection offers not yet accepted,1,6,0,0
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,Whetstone 33 11 kV S Stn,11,Connection offers not yet accepted,1,6,0,0
EMIDS,Enderby 132 kV S Stn,Wigston 33 kV S Stn,Wigston Magna 33 11 kV S Stn,11,Connection offers not yet accepted,4,6.587,1,1.06
EMIDS,Grendon 132 kV S Stn,-,-,132,Connection offers not yet accepted,1,500,1,500
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Corby Central 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.5,0,0
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Corby No2 11 kV S Stn,11,Connection offers not yet accepted,2,4.34,1,1.7
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Earlstrees 33 11 kV S Stn,11,Connection offers not yet accepted,1,5,0,0
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Hazelwood 33 11 kV S Stn,11,Connection offers not yet accepted,2,5.25,1,6.65
EMIDS,Grendon 132 kV S Stn,Corby 33 kV S Stn,Oakley 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.708,0,0
EMIDS,Grendon 132 kV S Stn,Irthlingborough 33 kV S Stn,-,33,Connection offers not yet accepted,1,31,1,31
EMIDS,Grendon 132 kV S Stn,Irthlingborough 33 kV S Stn,Pytchley Road 33 11 kV S Stn,11,Connection offers not yet accepted,3,3.5,0,0
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,-,33,Connection offers not yet accepted,1,5,1,5
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Burton Latimer 33 11 kV S Stn,11,Connection offers not yet accepted,0,0,1,4.2
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Desborough 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.218,0,0
EMIDS,Grendon 132 kV S Stn,Kettering 33 kV S Stn,Field Street 33 11 kV S Stn,11,Connection offers not yet accepted,1,2,0,0
EMIDS,Grendon 132 kV S Stn,Kibworth 33 kV S Stn,Kibworth 11 kV S Stn,11,Connection offers not yet accepted,1,1.25,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,40
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Holwell 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.554,0,0
EMIDS,Grendon 132 kV S Stn,Melton Mowbray 33 kV S Stn,Melton Mowbray 11 kV S Stn,11,Connection offers not yet accepted,5,8.428,0,0
EMIDS,Grendon 132 kV S Stn,Northampton 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,1,40
EMIDS,Grendon 132 kV S Stn,Northampton 33 kV S Stn,Wootton 33 11 kV S Stn,11,Connection offers not yet accepted,2,3.286,0,0
EMIDS,Grendon 132 kV S Stn,Northampton East 33 kV S Stn,-,33,Connection offers not yet accepted,2,45.1,1,39.6
EMIDS,Grendon 132 kV S Stn,Northampton West 33 kV S Stn,Banbury Lane 33 11 kV S Stn,11,Connection offers not yet accepted,2,5.38,0,0
EMIDS,Grendon 132 kV S Stn,Northampton West 33 kV S Stn,Ellesmere Avenue 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,Empingham 33 11 kV S Stn,11,Connection offers not yet accepted,1,5.32,0,0
EMIDS,Grendon 132 kV S Stn,Oakham 33 kV S Stn,Oakham 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Grendon 132 kV S Stn,Wellingborough 33 kV S Stn,Sharnbrook 33 11 kV S Stn,11,Connection offers not yet accepted,2,3.88,0,0
EMIDS,Lea Marston 132 kV S Stn,Tamworth 33 kV S Stn,Atherstone 33 11 kV S Stn,11,Connection offers not yet accepted,1,1.461,0,0
EMIDS,Lea Marston 132 kV S Stn,Tamworth 33 kV S Stn,Wood End 33 11 kV S Stn,11,Connection offers not yet accepted,1,3,0,0
EMIDS,Lea Marston 132 kV S Stn,Tamworth Town 132 kV S Stn,Tamworth Town 11 kV S Stn,11,Connection offers not yet accepted,2,5.075,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,-,-,132,Connection offers not yet accepted,1,70,1,70
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 132 kV S Stn (M32),Loughborough 11 kV S Stn,11,Connection offers not yet accepted,3,5.7,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 33 kV S Stn,-,33,Connection offers not yet accepted,0,0,2,31.99
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 33 kV S Stn,Brush 33 11 kV S Stn,11,Connection offers not yet accepted,2,2,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Loughborough 33 kV S Stn,Shepshed 33 11 kV S Stn,11,Connection offers not yet accepted,3,5.3,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,Clifton 33 11 kV S Stn,11,Connection offers not yet accepted,1,1,0,0
EMIDS,Ratcliffe On Soar 132 kV S Stn,Nottingham 33 kV S Stn,North Wilford 33 11 kV S Stn,11,Connection offers not yet accepted,1,4.188,0,0
